,product_name,ratings,no_of_ratings,sold_num,original_price,current_price,discount_amount,price_of_1,brand_name
0,Round Neck Soft Feel Cotton T-shirt For Men,3.1,132.0,1000,990,375,615,375.0,Other
1,Shangrila Pack Of 2 Cotton T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.5,83.0,338,0,550,0,275.0,Shangrila
3,Shangrila Magic Buddha Printed T-Shirt For Men - Black | Multisize | Fashion | Summer T-Shirts For Men,4.4,453.0,3000,450,330,120,330.0,Shangrila
4,Sports Summer Half Sleeve T-shirt For Men,4.1,98.0,705,550,390,160,390.0,Other
5,Men Soft Cotton Round Neck Summer T-Shirt - Multicolor | Multisize | Fashion | Summer T-Shirts For Men,3.8,182.0,1000,1050,390,660,390.0,Other
6,Shangrila Pack Of 3 Full Sleeve T-Shirt For Men With Button - Multicolor | Multisize | Fashion | T-Shirt For Men,4.1,315.0,1000,1900,1199,701,399.6666666666667,Shangrila
7,Shangrila Pack Of 4 Cotton T-Shirt For Men - Black | Navy |Grey | Maroon | Fashion | T-Shirt For Men |,4.4,279.0,1000,1100,990,110,247.5,Shangrila
8,Binay Embroidery Cotton Plain T-Shirt For Men 4 Pcs Combo Set - Fashion | T-Shirts For Men | Men's Upper Wear | T-Shirts |,4.2,296.0,1000,1099,1050,49,262.5,Binay Embroidery
10,Shangrila 100% Cotton Pack Of 4 T-Shirt For Men - Black | Blue |Grey | White | Fashion | T-Shirt For Men,4.3,310.0,1000,1100,990,110,247.5,Shangrila
11,Shangrila Itachi Anime Printed T-Shirt For Men - Black | Multisize | Fashion | Summer T-Shirts For Men,4.5,187.0,1000,475,330,145,330.0,Shangrila
12,Hills And Clouds & Echo Series T-Shirt (Wear Your Mask) (Black) For Men,4.6,5.0,0,799,399,400,399.0,Hills And Clouds
13,Shangrila Round Neck Ganesh Printed T-Shirt For Men - Multicolor | Multisize | Fashion | T-Shirt For Men,4.6,42.0,266,400,360,40,360.0,Shangrila
14,Men Soft Cotton Round Neck Summer T-Shirt - Multicolor | Multisize | Fashion | Summer T-Shirts For Men,4.2,17.0,126,1050,325,725,325.0,Other
15,Shangri-La Combo Of 4 Cotton Printed T-Shirts For Men - Navy Blue/ Green/ Blue | Fashion | T-Shirt For Men,4.6,221.0,1000,1600,1200,400,300.0,Shangrila
16,Shangrila Combo Of 3 Cotton Heavy-Metal Printed T-Shirts For Men - Multicolor | Fashion | T-Shirts For Men,4.3,140.0,936,0,1050,0,350.0,Shangrila
17,Shangrila CR7 Printed T-shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.1,37.0,165,0,330,0,330.0,Shangrila
18,Shangrila Metal Band Combo Of 3 Printed T-Shirt For Men - Black | | Multisize | Fashion | T-Shirt For Men,4.5,101.0,604,0,1050,0,350.0,Shangrila
19,Shangrila Joker Printed Half Sleeves T-Shirt For Men - Black | Multisize | Fashion | Summer T-Shirts For Men,4.5,81.0,478,0,330,0,330.0,Shangrila
20,Shangrila Buddha Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.3,10.0,101,0,400,0,400.0,Shangrila
21,Shangri-La Combo Of 3 Anime Printed T-Shirt For Men - Multicolor | Multisize | Fashion | T-Shirts For Men,4.5,91.0,341,0,900,0,300.0,Shangrila
22,Shangrila Marshmallow Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.4,130.0,961,450,339,111,339.0,Shangrila
23,SHANGRI-LA Pink Floyd Stone Washed Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.1,8.0,0,700,525,175,525.0,Shangrila
24,SHANGRI-LA ENDLESS KNOT Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.0,10.0,31,0,350,0,350.0,Shangrila
25,White Cotton Round Neck Half Sleeve Buddha Stupa Printed T-Shirt For Men,5.0,1.0,0,0,600,0,600.0,Other
26,Shangrila Combo Of 3 Cotton Printed T-Shirts For Men - Black/Green/Navy Blue - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.6,13.0,105,0,1050,0,350.0,Shangrila
27,Shangrila Black Round Neck Mandala Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.9,7.0,0,0,400,0,400.0,Shangrila
28,Binay Embroidery Cotton Casual Black Plane Full Sleeve T-Shirt For Men - Black | Fashion | T-Shirt For Men,4.1,162.0,920,750,523,227,523.0,Binay Embroidery
29,Shangrila Combo Of 4 Stone Wash T-Shirt For Men - Multicolor | Multisize | Fashion | Summer T-Shirts For Men,4.2,156.0,842,0,1600,0,400.0,Shangrila
30,Luffy Printed 100% Cotton Tshirt For Men - Multicolor | Fashion Round Neck Half Sleeves Tshirt For Men,4.5,144.0,886,600,399,201,399.0,Other
31,Men Soft Cotton Round Neck Summer T-Shirt,2.0,2.0,0,899,399,500,399.0,Other
32,Cactus Jack T-shirt For Men,4.2,19.0,152,1000,425,575,425.0,Other
33,Shangrila Led Zeppelin Printed T-Shirt For Men - Black | Multisize | Fashion | Summer T-Shirts For Men,4.1,55.0,286,475,299,176,299.0,Shangrila
35,Green Cotton Round Neck Half Sleeve Buddha Stupa Printed T-Shirt For Men,,,0,0,600,0,600.0,Other
36,Shangrila Beatles Print T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.1,29.0,130,0,330,0,330.0,Shangrila
37,SHANGRI-LA Metallica Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.6,19.0,70,0,350,0,350.0,Shangrila
38,Om Nama Shivaya Printed White T-Shirt For Men,4.0,1.0,0,700,500,200,500.0,Other
39,All In One Gallery - Nepal With Flag Printed Cotton T-shirt For Men,4.0,3.0,35,0,400,0,400.0,Other
80,Shangrila Combo Of 3 Rock Band T-Shirt For Men - Black | Multisize | Fashion | Summer T-Shirts For Men,4.3,112.0,679,0,1050,0,350.0,Shangrila
81,Binay Embroidery White Plain Cotton T-Shirts For Men -White | Multisize | Fashion | T-Shirts For Men |,5.0,4.0,61,450,331,119,331.0,Binay Embroidery
82,Binay Embroidery Green Om Printed Cotton T-Shirt For Men - Green | Multisize | Fashion | T-Shirts For Men,4.1,86.0,541,450,411,39,411.0,Binay Embroidery
83,Cotton Printed Half Sleeves T-Shirts For Men - Maroon | Multisize | Fashion | Summer T-Shirts For Men,4.2,76.0,674,550,390,160,390.0,Other
84,Black Round Neck Plain 100% Cotton T-Shirt For Men,4.4,43.0,442,0,400,0,400.0,Other
85,Binay Embroidery Black King Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Upper Wear | T-Shirts |,4.6,32.0,340,0,400,0,400.0,Binay Embroidery
86,Binay Embroidery Black Praying Flag Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Upper Wear | T-Shirts |,4.6,18.0,78,0,399,0,399.0,Binay Embroidery
88,SHANGRI-LA Pink Floyd Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.4,7.0,39,500,400,100,400.0,Shangrila
89,100% Cotton Jujutsu Kaisen Anime Printed T-Shirt For Men - Multicolor | Multisize | Fashion | T-Shirts For Men,4.5,115.0,701,600,425,175,425.0,Other
90,Hills And Clouds Classic Plain T-Shirt For Men (White),4.2,39.0,176,1200,780,420,780.0,Hills And Clouds
92,New Naruto Purple Eye Anime Printed 100% Cotton Tshirt For Men - Black | Fashion Naruto Anime Printed Tshirt For Men,4.4,116.0,734,600,425,175,425.0,Other
93,Shangrila Navy 100% Cotton Buddha Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.3,10.0,70,0,400,0,400.0,Shangrila
94,Men Soft Cotton Round Neck Summer T-Shirt,4.8,4.0,0,1000,395,605,395.0,Other
95,Luffy Printed Cotton Summer T-Shirt For Men - White | Multi Size Variation | Fashion | T-Shirt For Men,4.4,175.0,1000,600,425,175,425.0,Other
96,SHANGRI-LA Pack Of 3 Printed T-Shirt For Men - Fashion | T-Shirts For Men | Men's Wear | Printed T-Shirts |,4.4,22.0,103,0,900,0,300.0,Shangrila
